year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1930,Uruguay,Montevideo,Group 1,France,Mexico,4,1,H,,France,Mexico,13-07-1930,Jul,Sunday
1930,Uruguay,Montevideo,Group 4,Belgium,United States,0,3,A,,United States,Belgium,13-07-1930,Jul,Sunday
1930,Uruguay,Montevideo,Group 2,Brazil,Yugoslavia,1,2,A,,Yugoslavia,Brazil,14-07-1930,Jul,Monday
1930,Uruguay,Montevideo,Group 3,Peru,Romania,1,3,A,,Romania,Peru,14-07-1930,Jul,Monday
1930,Uruguay,Montevideo,Group 1,Argentina,France,1,0,H,,Argentina,France,15-07-1930,Jul,Tuesday
1930,Uruguay,Montevideo,Group 1,Chile,Mexico,3,0,H,,Chile,Mexico,16-07-1930,Jul,Wednesday
1930,Uruguay,Montevideo,Group 2,Bolivia,Yugoslavia,0,4,A,,Yugoslavia,Bolivia,17-07-1930,Jul,Thursday
1930,Uruguay,Montevideo,Group 4,Paraguay,United States,0,3,A,,United States,Paraguay,17-07-1930,Jul,Thursday
1930,Uruguay,Montevideo,Group 3,Uruguay,Peru,1,0,H,,Uruguay,Peru,18-07-1930,Jul,Friday
1930,Uruguay,Montevideo,Group 1,Argentina,Mexico,6,3,H,,Argentina,Mexico,19-07-1930,Jul,Saturday
1930,Uruguay,Montevideo,Group 1,Chile,France,1,0,H,,Chile,France,19-07-1930,Jul,Saturday
1930,Uruguay,Montevideo,Group 4,Belgium,Paraguay,0,1,A,,Paraguay,Belgium,20-07-1930,Jul,Sunday
1930,Uruguay,Montevideo,Group 2,Bolivia,Brazil,0,4,A,,Brazil,Bolivia,20-07-1930,Jul,Sunday
1930,Uruguay,Montevideo,Group 3,Uruguay,Romania,4,0,H,,Uruguay,Romania,21-07-1930,Jul,Monday
1930,Uruguay,Montevideo,Group 1,Argentina,Chile,3,1,H,,Argentina,Chile,22-07-1930,Jul,Tuesday
1930,Uruguay,Montevideo,Semifinals,Argentina,United States,6,1,H,,Argentina,United States,26-07-1930,Jul,Saturday
1930,Uruguay,Montevideo,Semifinals,Uruguay,Yugoslavia,6,1,H,,Uruguay,Yugoslavia,27-07-1930,Jul,Sunday
1930,Uruguay,Montevideo,Final,Uruguay,Argentina,4,2,H,,Uruguay,Argentina,30-07-1930,Jul,Wednesday
1934,Italy,Bologna,Round of 16,Argentina,Sweden,2,3,A,,Sweden,Argentina,27-05-1934,May,Sunday
1934,Italy,Turin,Round of 16,Austria,France,3,2,H,Austria won in AET,Austria,France,27-05-1934,May,Sunday
1934,Italy,Florence,Round of 16,Belgium,Germany,2,5,A,,Germany,Belgium,27-05-1934,May,Sunday
1934,Italy,Genoa,Round of 16,Brazil,Spain,1,3,A,,Spain,Brazil,27-05-1934,May,Sunday
1934,Italy,Trieste,Round of 16,Czechoslovakia,Romania,2,1,H,,Czechoslovakia,Romania,27-05-1934,May,Sunday
1934,Italy,Naples,Round of 16,Egypt,Hungary,2,4,A,,Hungary,Egypt,27-05-1934,May,Sunday
1934,Italy,Rome,Round of 16,Italy,United States,7,1,H,,Italy,United States,27-05-1934,May,Sunday
1934,Italy,Milan,Round of 16,Netherlands,Switzerland,2,3,A,,Switzerland,Netherlands,27-05-1934,May,Sunday
1934,Italy,Bologna,Quarterfinals,Austria,Hungary,2,1,H,,Austria,Hungary,31-05-1934,May,Thursday
1934,Italy,Turin,Quarterfinals,Czechoslovakia,Switzerland,3,2,H,,Czechoslovakia,Switzerland,31-05-1934,May,Thursday
1934,Italy,Milan,Quarterfinals,Germany,Sweden,2,1,H,,Germany,Sweden,31-05-1934,May,Thursday
1934,Italy,Florence,Quarterfinals,Italy,Spain,1,1,D,,NA,NA,31-05-1934,May,Thursday
1934,Italy,Florence,Quarterfinals,Italy,Spain,1,0,H,,Italy,Spain,01-06-1934,Jun,Friday
1934,Italy,Rome,Semifinals,Czechoslovakia,Germany,3,1,H,,Czechoslovakia,Germany,03-06-1934,Jun,Sunday
1934,Italy,Milan,Semifinals,Italy,Austria,1,0,H,,Italy,Austria,03-06-1934,Jun,Sunday
1934,Italy,Naples,Third place,Austria,Germany,2,3,A,,Germany,Austria,07-06-1934,Jun,Thursday
1934,Italy,Rome,Final,Italy,Czechoslovakia,2,1,H,Italy won in AET,Italy,Czechoslovakia,10-06-1934,Jun,Sunday
1938,France,Paris,Round of 16,Germany,Switzerland,1,1,D,,NA,NA,04-06-1938,Jun,Saturday
1938,France,Strasbourg,Round of 16,Brazil,Poland,6,5,H,Brazil won in AET,Brazil,Poland,05-06-1938,Jun,Sunday
1938,France,Toulouse,Round of 16,Cuba,Romania,3,3,D,,NA,NA,05-06-1938,Jun,Sunday
1938,France,Le Havre,Round of 16,Czechoslovakia,Netherlands,3,0,H,Czechoslovakia won in AET,Czechoslovakia,Netherlands,05-06-1938,Jun,Sunday
1938,France,Colombes,Round of 16,France,Belgium,3,1,H,,France,Belgium,05-06-1938,Jun,Sunday
1938,France,Reims,Round of 16,Hungary,Dutch West Indies,6,0,H,,Hungary,Dutch West Indies,05-06-1938,Jun,Sunday
1938,France,Marseille,Round of 16,Italy,Norway,2,1,H,Italy won in AET,Italy,Norway,05-06-1938,Jun,Sunday
1938,France,Toulouse,Round of 16,Cuba,Romania,2,1,H,,Cuba,Romania,09-06-1938,Jun,Thursday
1938,France,Paris,Round of 16,Germany,Switzerland,2,4,A,,Switzerland,Germany,09-06-1938,Jun,Thursday
1938,France,Bordeaux,Quarterfinals,Brazil,Czechoslovakia,1,1,D,,NA,NA,12-06-1938,Jun,Sunday
1938,France,Antibes,Quarterfinals,Cuba,Sweden,0,8,A,,Sweden,Cuba,12-06-1938,Jun,Sunday
1938,France,Colombes,Quarterfinals,France,Italy,1,3,A,,Italy,France,12-06-1938,Jun,Sunday
1938,France,Lille,Quarterfinals,Hungary,Switzerland,2,0,H,,Hungary,Switzerland,12-06-1938,Jun,Sunday
1938,France,Bordeaux,Quarterfinals,Brazil,Czechoslovakia,2,1,H,,Brazil,Czechoslovakia,14-06-1938,Jun,Tuesday
1938,France,Marseille,Semifinals,Brazil,Italy,1,2,A,,Italy,Brazil,16-06-1938,Jun,Thursday
1938,France,Paris,Semifinals,Hungary,Sweden,5,1,H,,Hungary,Sweden,16-06-1938,Jun,Thursday
1938,France,Bordeaux,Third place,Brazil,Sweden,4,2,H,,Brazil,Sweden,19-06-1938,Jun,Sunday
1938,France,Colombes,Final,Hungary,Italy,2,4,A,,Italy,Hungary,19-06-1938,Jun,Sunday
1950,Brazil,Rio de Janeiro,Group 1,Brazil,Mexico,4,0,H,,Brazil,Mexico,24-06-1950,Jun,Saturday
1950,Brazil,Rio de Janeiro,Group 2,Chile,England,0,2,A,,England,Chile,25-06-1950,Jun,Sunday
1950,Brazil,Sao Paulo,Group 3,Italy,Sweden,2,3,A,,Sweden,Italy,25-06-1950,Jun,Sunday
1950,Brazil,Curitiba,Group 2,Spain,United States,3,1,H,,Spain,United States,25-06-1950,Jun,Sunday
1950,Brazil,Belo Horizonte,Group 1,Switzerland,Yugoslavia,0,3,A,,Yugoslavia,Switzerland,25-06-1950,Jun,Sunday
1950,Brazil,Sao Paulo,Group 1,Brazil,Switzerland,2,2,D,,NA,NA,28-06-1950,Jun,Wednesday
1950,Brazil,Porto Alegre,Group 1,Mexico,Yugoslavia,1,4,A,,Yugoslavia,Mexico,28-06-1950,Jun,Wednesday
1950,Brazil,Rio de Janeiro,Group 2,Chile,Spain,0,2,A,,Spain,Chile,29-06-1950,Jun,Thursday
1950,Brazil,Belo Horizonte,Group 2,England,United States,0,1,A,,United States,England,29-06-1950,Jun,Thursday
1950,Brazil,Curitiba,Group 3,Paraguay,Sweden,2,2,D,,NA,NA,29-06-1950,Jun,Thursday
1950,Brazil,Rio de Janeiro,Group 1,Brazil,Yugoslavia,2,0,H,,Brazil,Yugoslavia,01-07-1950,Jul,Saturday
1950,Brazil,Belo Horizonte,Group 4,Bolivia,Uruguay,0,8,A,,Uruguay,Bolivia,02-07-1950,Jul,Sunday
1950,Brazil,Recife,Group 2,Chile,United States,5,2,H,,Chile,United States,02-07-1950,Jul,Sunday
1950,Brazil,Rio de Janeiro,Group 2,England,Spain,0,1,A,,Spain,England,02-07-1950,Jul,Sunday
1950,Brazil,Sao Paulo,Group 3,Italy,Paraguay,2,0,H,,Italy,Paraguay,02-07-1950,Jul,Sunday
1950,Brazil,Porto Alegre,Group 1,Mexico,Switzerland,1,2,A,,Switzerland,Mexico,02-07-1950,Jul,Sunday
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Sweden,7,1,H,,Brazil,Sweden,09-07-1950,Jul,Sunday
1950,Brazil,Sao Paulo,Final Round,Spain,Uruguay,2,2,D,,NA,NA,09-07-1950,Jul,Sunday
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Spain,6,1,H,,Brazil,Spain,13-07-1950,Jul,Thursday
1950,Brazil,Sao Paulo,Final Round,Sweden,Uruguay,2,3,A,,Uruguay,Sweden,13-07-1950,Jul,Thursday
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Uruguay,1,2,A,,Uruguay,Brazil,16-07-1950,Jul,Sunday
1950,Brazil,Sao Paulo,Final Round,Spain,Sweden,1,3,A,,Sweden,Spain,16-07-1950,Jul,Sunday
1954,Switzerland,Zurich,Group 3,Austria,Scotland,1,0,H,,Austria,Scotland,16-06-1954,Jun,Wednesday
1954,Switzerland,Geneva,Group 1,Brazil,Mexico,5,0,H,,Brazil,Mexico,16-06-1954,Jun,Wednesday
1954,Switzerland,Berne,Group 3,Czechoslovakia,Uruguay,0,2,A,,Uruguay,Czechoslovakia,16-06-1954,Jun,Wednesday
1954,Switzerland,Lausanne,Group 1,France,Yugoslavia,0,1,A,,Yugoslavia,France,16-06-1954,Jun,Wednesday
1954,Switzerland,Basel,Group 4,Belgium,England,4,4,D,,NA,NA,17-06-1954,Jun,Thursday
1954,Switzerland,Berne,Group 2,Germany,Turkey,4,1,H,,Germany,Turkey,17-06-1954,Jun,Thursday
1954,Switzerland,Zurich,Group 2,Hungary,South Korea,9,0,H,,Hungary,South Korea,17-06-1954,Jun,Thursday
1954,Switzerland,Lausanne,Group 4,Switzerland,Italy,2,1,H,,Switzerland,Italy,17-06-1954,Jun,Thursday
1954,Switzerland,Zurich,Group 3,Austria,Czechoslovakia,5,0,H,,Austria,Czechoslovakia,19-06-1954,Jun,Saturday
1954,Switzerland,Lausanne,Group 1,Brazil,Yugoslavia,1,1,D,,NA,NA,19-06-1954,Jun,Saturday
1954,Switzerland,Geneva,Group 1,France,Mexico,3,2,H,,France,Mexico,19-06-1954,Jun,Saturday
1954,Switzerland,Basel,Group 3,Scotland,Uruguay,0,7,A,,Uruguay,Scotland,19-06-1954,Jun,Saturday
1954,Switzerland,Lugano,Group 4,Belgium,Italy,1,4,A,,Italy,Belgium,20-06-1954,Jun,Sunday
1954,Switzerland,Basel,Group 2,Germany,Hungary,3,8,A,,Hungary,Germany,20-06-1954,Jun,Sunday
1954,Switzerland,Geneva,Group 2,South Korea,Turkey,0,7,A,,Turkey,South Korea,20-06-1954,Jun,Sunday
1954,Switzerland,Berne,Group 4,Switzerland,England,0,2,A,,England,Switzerland,20-06-1954,Jun,Sunday
1954,Switzerland,Zurich,Group 2,Germany,Turkey,7,2,H,,Germany,Turkey,23-06-1954,Jun,Wednesday
1954,Switzerland,Basel,Group 4,Switzerland,Italy,4,1,H,,Switzerland,Italy,23-06-1954,Jun,Wednesday
1954,Switzerland,Basel,Quarterfinals,England,Uruguay,2,4,A,,Uruguay,England,26-06-1954,Jun,Saturday
1954,Switzerland,Lausanne,Quarterfinals,Switzerland,Austria,5,7,A,,Austria,Switzerland,26-06-1954,Jun,Saturday
1954,Switzerland,Berne,Quarterfinals,Brazil,Hungary,2,4,A,,Hungary,Brazil,27-06-1954,Jun,Sunday
1954,Switzerland,Geneva,Quarterfinals,Germany,Yugoslavia,2,0,H,,Germany,Yugoslavia,27-06-1954,Jun,Sunday
1954,Switzerland,Basel,Semifinals,Austria,Germany,1,6,A,,Germany,Austria,30-06-1954,Jun,Wednesday
1954,Switzerland,Lausanne,Semifinals,Hungary,Uruguay,4,2,H,Hungary won in AET,Hungary,Uruguay,30-06-1954,Jun,Wednesday
1954,Switzerland,Zurich,Third place,Austria,Uruguay,3,1,H,,Austria,Uruguay,03-07-1954,Jul,Saturday
1954,Switzerland,Berne,Final,Germany,Hungary,3,2,H,,Germany,Hungary,04-07-1954,Jul,Sunday
